REDCODE;ESCOLARIDAD_0;ESCOLARIDAD_1;ESCOLARIDAD_2;ESCOLARIDAD_3;ESCOLARIDAD_4;ESCOLARIDAD_5;ESCOLARIDAD_6;ESCOLARIDAD_7;ESCOLARIDAD_8;ESCOLARIDAD_9;ESCOLARIDAD_10;ESCOLARIDAD_11;ESCOLARIDAD_12;ESCOLARIDAD_13;ESCOLARIDAD_14;ESCOLARIDAD_15;ESCOLARIDAD_16;ESCOLARIDAD_17;ESCOLARIDAD_18;ESCOLARIDAD_19;ESCOLARIDAD_20;ESCOLARIDAD_21;Total
13201101003;108;7;22;32;52;36;92;49;196;66;178;109;1165;57;192;185;139;210;2;14;0;1;2912
13201101004;17;9;20;28;29;19;116;32;151;68;144;124;1077;39;173;164;148;265;1;15;3;2;2644
13201101005;65;16;12;20;24;17;78;33;115;82;131;76;754;34;119;104;86;151;4;2;0;2;1925
13201101006;10;7;6;12;24;17;71;26;115;51;101;36;634;28;68;104;58;86;0;4;1;1;1460
13201111001;11;9;17;33;35;20;92;31;113;76;143;74;889;67;169;174;139;258;5;25;2;2;2384
13201111002;19;9;18;20;38;20;79;36;101;54;120;61;935;40;129;129;134;183;1;6;1;2;2135
13201111003;37;20;16;38;40;42;130;53;191;90;227;125;1080;67;190;176;117;237;2;15;0;1;2894
13201111004;13;8;18;23;24;18;54;37;136;52;91;55;690;27;104;91;92;113;3;4;1;0;1654
13201121001;17;6;13;25;33;26;92;33;115;48;117;85;824;36;149;156;125;248;0;17;0;1;2166
13201121002;34;6;18;25;38;30;122;43;228;95;201;100;1335;61;189;145;122;240;0;17;3;1;3053
13201121003;23;9;10;26;49;29;116;41;204;75;197;105;1158;64;185;197;144;263;3;18;1;0;2917
13201121004;41;13;15;34;37;28;103;56;183;82;151;101;1100;53;186;172;170;280;2;13;0;4;2824
13201121005;17;2;9;15;21;12;57;18;64;50;98;51;823;72;238;339;218;506;10;37;7;7;2671
13201121006;14;2;1;6;23;19;47;16;93;46;108;54;564;32;121;86;65;129;2;9;1;2;1440
13201131001;58;4;26;39;60;48;84;27;126;54;93;49;377;9;39;33;20;40;1;3;1;0;1191
13201131002;70;15;27;45;57;50;133;58;218;109;230;126;861;40;130;117;65;147;0;9;3;4;2514
13201131003;124;23;68;79;108;110;161;134;430;142;245;102;777;15;52;41;26;42;0;2;0;0;2681
13201131004;77;30;67;77;114;84;184;77;262;88;181;81;642;33;78;79;42;74;3;2;0;2;2277
13201131005;73;27;47;78;98;69;147;72;259;122;137;63;651;18;43;55;20;38;0;2;0;0;2019
13201141001;46;28;31;55;70;25;143;70;185;91;172;87;904;45;140;129;74;133;1;9;0;0;2438
13201141002;82;18;41;86;85;66;163;83;283;112;211;89;904;44;98;99;70;99;0;6;2;0;2641
13201141003;39;17;32;39;58;38;102;54;221;93;175;80;989;39;122;113;66;117;1;4;1;1;2401
13201141004;121;19;42;70;128;76;182;74;287;127;215;105;1074;38;109;102;94;155;4;8;0;3;3033
